mode,instanceId,expectedTruthfulReward,expectedShortcutReward,expectedRewardGap
baseline,80,1014084.000000,885245.250000,128838.75
psi=0.05,80,1062675.600000,946720.725000,115954.875
psi=0.10,80,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,80,1208450.400000,1131147.150000,77303.25
psi=0.30,80,1305633.600000,1254098.100000,51535.5
baseline,81,1014084.000000,1033536.375000,-19452.375
psi=0.05,81,1062675.600000,1080182.737500,-17507.137499999953
psi=0.10,81,1111267.200000,1126829.100000,-15561.899999999907
psi=0.20,81,1208450.400000,1220121.825000,-11671.42500000028
psi=0.30,81,1305633.600000,1313414.550000,-7780.949999999953
baseline,82,1014084.000000,885245.250000,128838.75
psi=0.05,82,1062675.600000,946720.725000,115954.875
psi=0.10,82,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,82,1208450.400000,1131147.150000,77303.25
psi=0.30,82,1305633.600000,1254098.100000,51535.5
baseline,83,1014084.000000,885245.250000,128838.75
psi=0.05,83,1062675.600000,946720.725000,115954.875
psi=0.10,83,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,83,1208450.400000,1131147.150000,77303.25
psi=0.30,83,1305633.600000,1254098.100000,51535.5
baseline,84,1014084.000000,705882.000000,308202.0
psi=0.05,84,1062675.600000,785293.800000,277381.80000000016
psi=0.10,84,1111267.200000,864705.600000,246561.6000000001
psi=0.20,84,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,84,1305633.600000,1182352.800000,123280.80000000028
baseline,85,1014084.000000,885245.250000,128838.75
psi=0.05,85,1062675.600000,946720.725000,115954.875
psi=0.10,85,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,85,1208450.400000,1131147.150000,77303.25
psi=0.30,85,1305633.600000,1254098.100000,51535.5
baseline,86,1014084.000000,705882.000000,308202.0
psi=0.05,86,1062675.600000,785293.800000,277381.80000000016
psi=0.10,86,1111267.200000,864705.600000,246561.6000000001
psi=0.20,86,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,86,1305633.600000,1182352.800000,123280.80000000028
baseline,87,885245.250000,885245.250000,0.0
psi=0.05,87,946720.725000,946720.725000,0.0
psi=0.10,87,1008196.200000,1008196.200000,0.0
psi=0.20,87,1131147.150000,1131147.150000,0.0
psi=0.30,87,1254098.100000,1254098.100000,0.0
baseline,88,1014084.000000,885245.250000,128838.75
psi=0.05,88,1062675.600000,946720.725000,115954.875
psi=0.10,88,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,88,1208450.400000,1131147.150000,77303.25
psi=0.30,88,1305633.600000,1254098.100000,51535.5
baseline,89,1014084.000000,439024.250000,575059.75
psi=0.05,89,1062675.600000,545121.825000,517553.775
psi=0.10,89,1111267.200000,651219.400000,460047.80000000005
psi=0.20,89,1208450.400000,863414.550000,345035.84999999986
psi=0.30,89,1305633.600000,1075609.700000,230023.90000000014
baseline,90,1014084.000000,885245.250000,128838.75
psi=0.05,90,1062675.600000,946720.725000,115954.875
psi=0.10,90,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,90,1208450.400000,1131147.150000,77303.25
psi=0.30,90,1305633.600000,1254098.100000,51535.5
baseline,91,1014084.000000,1014084.000000,0.0
psi=0.05,91,1062675.600000,1062675.600000,0.0
psi=0.10,91,1111267.200000,1111267.200000,0.0
psi=0.20,91,1208450.400000,1208450.400000,0.0
psi=0.30,91,1305633.600000,1305633.600000,0.0
baseline,92,1014084.000000,1033536.375000,-19452.375
psi=0.05,92,1062675.600000,1080182.737500,-17507.137499999953
psi=0.10,92,1111267.200000,1126829.100000,-15561.899999999907
psi=0.20,92,1208450.400000,1220121.825000,-11671.42500000028
psi=0.30,92,1305633.600000,1313414.550000,-7780.949999999953
baseline,93,1014084.000000,1628048.500000,-613964.5
psi=0.05,93,1062675.600000,1615243.650000,-552568.05
psi=0.10,93,1111267.200000,1602438.800000,-491171.6000000001
psi=0.20,93,1208450.400000,1576829.100000,-368378.7000000002
psi=0.30,93,1305633.600000,1551219.400000,-245585.7999999998
baseline,94,1628048.500000,705882.000000,922166.5
psi=0.05,94,1615243.650000,785293.800000,829949.8500000002
psi=0.10,94,1602438.800000,864705.600000,737733.2000000002
psi=0.20,94,1576829.100000,1023529.200000,553299.9
psi=0.30,94,1551219.400000,1182352.800000,368866.6000000001
